!	1.0 ! #1
!!	1.0 ! ! #1
!!!	1.0 ! ! !
"	1.0 " #1
OTC-000127	1.0 O T C - 0 0 0 1 2 7
OTHER	1.0 O T H E R #1
OTHERS	1.0 O T H E R S
OTHMAN	1.0 O T H M A N
OTM	1.0 O T M
OTP	1.0 O T P
OULMES	1.0 O U L M E S
OUNCE	1.0 O U N C E
OUR	1.0 O U R #1
OURCHASE.	1.0 O U R C H A S E .
OUT	1.0 O U T #1
OUTLET	1.0 O U T L E T #1
OUTLET:	1.0 O U T L E T : #1
OUTLET:03-80626265	1.0 O U T L E T : 0 3 - 8 0 6 2 6 2 6 5
OV	1.0 O V #1
OVERFLOW	1.0 O V E R F L O W
OVERIDE	1.0 O V E R I D E
OWN	1.0 O W N #1
OWNED	1.0 O W N E D
OXIDE	1.0 O X I D E
OYSTER	1.0 O Y S T E R
OZ	1.0 O Z #1
OZ-50PCS	1.0 O Z - 5 0 P C S
Or	1.0 O r
P	1.0 P #1
P.	1.0 P . #1
P.COPY	1.0 P . C O P Y
P.JAYA	1.0 P . J A Y A
P.RAMLEE	1.0 P . R A M L E E
P.S	1.0 P . S
P.T.	1.0 P . T .
P/968BK-SIZE8	1.0 P / 9 6 8 B K - S I Z E 8
P/S	1.0 P / S
P02	1.0 P 0 2
P1	1.0 P 1
P3	1.0 P 3
P6,	1.0 P 6 ,
P7	1.0 P 7
PA30G	1.0 P A 3 0 G
PACK	1.0 P A C K #1
PACKAGE	1.0 P A C K A G E
PACKAGING	1.0 P A C K A G I N G #1
PACKAGING.	1.0 P A C K A G I N G .
PACKET	1.0 P A C K E T
PAD	1.0 P A D #1
PADLOCK	1.0 P A D L O C K
PAGOH	1.0 P A G O H #1
PAGOH,	1.0 P A G O H ,
PAHANG	1.0 P A H A N G #1
PAHANG,	1.0 P A H A N G ,
PAID	1.0 P A I D #1
PAID:	1.0 P A I D :
PAIL	1.0 P A I L
PAINT	1.0 P A I N T
PAIR)	1.0 P A I R )
PAK	1.0 P A K #1
PAKCING	1.0 P A K C I N G
PAKU	1.0 P A K U
PALD	1.0 P A L D
PALEKBANG	1.0 P A L E K B A N G #1
PALEKBANG,	1.0 P A L E K B A N G ,
PALM	1.0 P A L M
PAN	1.0 P A N #1
PANADOL	1.0 P A N A D O L
PANAS,	1.0 P A N A S ,
PANAS.	1.0 P A N A S .
PANDAH	1.0 P A N D A H
PANDAN	1.0 P A N D A N
PAPAN	1.0 P A P A N
PAPER	1.0 P A P E R
PAPPARICH	1.0 P A P P A R I C H
PAPYRUS	1.0 P A P Y R U S
PAR	1.0 P A R #1
PARADE)	1.0 P A R A D E )
PARADIGM	1.0 P A R A D I G M
PARK	1.0 P A R K #1
PARK,	1.0 P A R K ,
PARKING	1.0 P A R K I N G
PARMESAN	1.0 P A R M E S A N
PART	1.0 P A R T #1
PARTITION	1.0 P A R T I T I O N
PARTNER	1.0 P A R T N E R
PASAR	1.0 P A S A R #1
PASARAYA	1.0 P A S A R A Y A
PASIR	1.0 P A S I R
PASSION	1.0 P A S S I O N
PASSWORD	1.0 P A S S W O R D #1
PASSWORD:	1.0 P A S S W O R D :
PASTA	1.0 P A S T A
PAT:37993027/RC:209031/IF:40132774	1.0 P A T : 3 7 9 9 3 0 2 7 / R C : 2 0 9 0 3 1 / I F : 4 0 1 3 2 7 7 4
PATRONAGE	1.0 P A T R O N A G E
PAVITHRA	1.0 P A V I T H R A
PAX	1.0 P A X #1
PAX(S)	1.0 P A X ( S ) #1
PAX(S):	1.0 P A X ( S ) :
PAX)	1.0 P A X )
PAX:	1.0 P A X : #1
PAX:1	1.0 P A X : 1
PAY	1.0 P A Y #1
PAYABLE	1.0 P A Y A B L E #1
PAYABLE:	1.0 P A Y A B L E :
PAYMENT	1.0 P A Y M E N T
PB	1.0 P B #1
PBA4L25	1.0 P B A 4 L 2 5
PBB	1.0 P B B
PBS	1.0 P B S
PC	1.0 P C #1
PC)	1.0 P C )
PCL	1.0 P C L
PCS	1.0 P C S #1
PCS)	1.0 P C S )
PD	1.0 P D #1
PDP	1.0 P D P #1
PDPA	1.0 P D P A
PE	1.0 P E #1
PEA	1.0 P E A #1
PEACOCK	1.0 P E A C O C K
PEANUT	1.0 P E A N U T
PECK	1.0 P E C K
PEEL	1.0 P E E L
PEG	1.0 P E G
PEI	1.0 P E I
PELABUR	1.0 P E L A B U R
PEN	1.0 P E N #1
PENANG.	1.0 P E N A N G .
PENCIL	1.0 P E N C I L
PENDEK	1.0 P E N D E K
PENGACARA	1.0 P E N G A C A R A
PENGERANG,	1.0 P E N G E R A N G ,
PENGKALAN	1.0 P E N G K A L A N
PENTEL	1.0 P E N T E L
PEP	1.0 P E P
PER	1.0 P E R #1
PERBANDARAN	1.0 P E R B A N D A R A N
PERDANA	1.0 P E R D A N A #1
PERDANA,	1.0 P E R D A N A ,
PERDANA.	1.0 P E R D A N A .
PERFECT	1.0 P E R F E C T
PERI-PERI	1.0 P E R I - P E R I
PERINDUSTRIAN	1.0 P E R I N D U S T R I A N
PERINOUSTRIAN	1.0 P E R I N O U S T R I A N
PERISA	1.0 P E R I S A
PERISHABLE,	1.0 P E R I S H A B L E ,
PERJIRANAN	1.0 P E R J I R A N A N
PERMAI	1.0 P E R M A I
PERMAS	1.0 P E R M A S
PERNIAGAAN	1.0 P E R N I A G A A N
PERSEKUTUAN	1.0 P E R S E K U T U A N
PERSON	1.0 P E R S O N #1
PERSONAL	1.0 P E R S O N A L
PERSOR	1.0 P E R S O R
PERTUKARAN	1.0 P E R T U K A R A N
PERUBATAN	1.0 P E R U B A T A N
PERUSAHAAN	1.0 P E R U S A H A A N
PETALING	1.0 P E T A L I N G #1
PETALING,	1.0 P E T A L I N G ,
PETER	1.0 P E T E R
PETRO	1.0 P E T R O #1
PETRODELI	1.0 P E T R O D E L I
PETROL	1.0 P E T R O L
PETRONAS	1.0 P E T R O N A S
PG-47BK	1.0 P G - 4 7 B K
PHARMACY	1.0 P H A R M A C Y
PHASE	1.0 P H A S E
PHILEO	1.0 P H I L E O
PHILIPS	1.0 P H I L I P S
PHONE	1.0 P H O N E #1
PHONE:	1.0 P H O N E :
PHONG	1.0 P H O N G
PHOTOCOPY	1.0 P H O T O C O P Y
PHRANAKON	1.0 P H R A N A K O N
PI12PJ11-4	1.0 P I 1 2 P J 1 1 - 4
PICKUP	1.0 P I C K U P
PIE	1.0 P I E
PIL	1.0 P I L #1
PILLAR	1.0 P I L L A R
PILOT	1.0 P I L O T
PIN	1.0 P I N #1
PINANG,	1.0 P I N A N G ,
PINEAPPLE	1.0 P I N E A P P L E
PINGGIRAN	1.0 P I N G G I R A N
PINGHWAI	1.0 P I N G H W A I
PINS	1.0 P I N S
PINTAR	1.0 P I N T A R
PIPE	1.0 P I P E
PIPIT	1.0 P I P I T
PIZZA	1.0 P I Z Z A
PJ	1.0 P J #1
PJ,	1.0 P J ,
PJS	1.0 P J S #1
PJSTAFF5	1.0 P J S T A F F 5
PJU	1.0 P J U #1
PJU,	1.0 P J U ,
PKT	1.0 P K T
PL623	1.0 P L 6 2 3
PLACEMAT	1.0 P L A C E M A T
PLAIN	1.0 P L A I N #1
PLAINRICE	1.0 P L A I N R I C E
PLANNING	1.0 P L A N N I N G
PLANTA	1.0 P L A N T A
PLASTER	1.0 P L A S T E R #1
PLASTERING	1.0 P L A S T E R I N G
PLASTIC	1.0 P L A S T I C #1
PLASTICS	1.0 P L A S T I C S
PLATE	1.0 P L A T E
PLATINUM	1.0 P L A T I N U M
PLAY/APP	1.0 P L A Y / A P P
PLAZA	1.0 P L A Z A #1
PLAZA,LOT	1.0 P L A Z A , L O T
PLEASAE	1.0 P L E A S A E
PLEASE	1.0 P L E A S E
PLENTONG,	1.0 P L E N T O N G , #1
PLENTONG,JOHOR.	1.0 P L E N T O N G , J O H O R .
PLIERS	1.0 P L I E R S
PLS	1.0 P L S #1
PLSB-R	1.0 P L S B - R
PLT	1.0 P L T
PLU	1.0 P L U #1
PLUG	1.0 P L U G #1
PLUG(SINGLE)	1.0 P L U G ( S I N G L E )
PLUM	1.0 P L U M
PLUS	1.0 P L U S #1
PLUS-APPLE	1.0 P L U S - A P P L E
PLY	1.0 P L Y
PLZ	1.0 P L Z
PM	1.0 P M #1
PM*	1.0 P M *
PM,	1.0 P M ,
PMS	1.0 P M S
PNEAH	1.0 P N E A H
PO4	1.0 P O 4
POCKETS	1.0 P O C K E T S
POIN	1.0 P O I N #1
POINT	1.0 P O I N T #1
POINTS	1.0 P O I N T S
POLICY	1.0 P O L I C Y #1
POLICY.	1.0 P O L I C Y .
POLO	1.0 P O L O
POLY	1.0 P O L Y
POP	1.0 P O P #1
POPULAR	1.0 P O P U L A R #1
POPULAR.	1.0 P O P U L A R .
POPULARONLINE.	1.0 P O P U L A R O N L I N E .
PORE	1.0 P O R E
PORK	1.0 P O R K
PORRIDGE	1.0 P O R R I D G E
POS	1.0 P O S #1
POS/27408	1.0 P O S / 2 7 4 0 8
POS/53796	1.0 P O S / 5 3 7 9 6
POS01	1.0 P O S 0 1 #1
POS01/00012379	1.0 P O S 0 1 / 0 0 0 1 2 3 7 9
POS022881	1.0 P O S 0 2 2 8 8 1
POS1	1.0 P O S 1 #1
POS1N	1.0 P O S 1 N
POS:	1.0 P O S : #1
POS:12	1.0 P O S : 1 2
POS:2	1.0 P O S : 2
POS:POS001	1.0 P O S : P O S 0 0 1
POS:T002	1.0 P O S : T 0 0 2
POS:T012	1.0 P O S : T 0 1 2
POS:TC12	1.0 P O S : T C 1 2
POSNO	1.0 P O S N O
POSTED	1.0 P O S T E D
POT	1.0 P O T #1
POTATO	1.0 P O T A T O
POWDER	1.0 P O W D E R
POWER	1.0 P O W E R #1
POWERED	1.0 P O W E R E D
POYALTY	1.0 P O Y A L T Y
PP	1.0 P P #1
PPF	1.0 P P F
PR	1.0 P R #1
PRAI	1.0 P R A I
PRATAP	1.0 P R A T A P
PRAWN	1.0 P R A W N
PRE	1.0 P R E #1
PRE-AUTHORISATION	1.0 P R E - A U T H O R I S A T I O N
PREMIER	1.0 P R E M I E R
PREMIO	1.0 P R E M I O
PREMIU	1.0 P R E M I U
PREPAY	1.0 P R E P A Y
PRESCRIBED	1.0 P R E S C R I B E D
PRESENTED	1.0 P R E S E N T E D
PRESERVATIVES,	1.0 P R E S E R V A T I V E S ,
PRESIDENT	1.0 P R E S I D E N T
PRESSURE	1.0 P R E S S U R E #1
PRESSURE(PSI)	1.0 P R E S S U R E ( P S I )
PRESTIGE	1.0 P R E S T I G E
PREV	1.0 P R E V
PRICE	1.0 P R I C E #1
PRICE(RM)	1.0 P R I C E ( R M )
PRICE)	1.0 P R I C E )
PRICES	1.0 P R I C E S
PRIMA	1.0 P R I M A
PRIMP	1.0 P R I M P
PRINGLES	1.0 P R I N G L E S
PRINT	1.0 P R I N T #1
PRINTED	1.0 P R I N T E D #1
PRINTED:	1.0 P R I N T E D :
PRINTEDBY	1.0 P R I N T E D B Y
PRISTIN	1.0 P R I S T I N
PRN	1.0 P R N
PRO	1.0 P R O #1
PRODUCE	1.0 P R O D U C E
PRODUCT	1.0 P R O D U C T #1
PRODUCTION	1.0 P R O D U C T I O N
PRODUCTS	1.0 P R O D U C T S
PROGRAM	1.0 P R O G R A M #1
PROGRAMME	1.0 P R O G R A M M E
PROMO	1.0 P R O M O #1
PROMOTER	1.0 P R O M O T E R #1
PROMOTER:00	1.0 P R O M O T E R : 0 0
PROMOTION	1.0 P R O M O T I O N #1
PROMOTIONAL	1.0 P R O M O T I O N A L
PROMOTIONS	1.0 P R O M O T I O N S
PROOF	1.0 P R O O F
PROOUCT	1.0 P R O O U C T
PROSPER	1.0 P R O S P E R
PROTECTION	1.0 P R O T E C T I O N
PROTECTIVE	1.0 P R O T E C T I V E
PROTECTOR	1.0 P R O T E C T O R
PROVE	1.0 P R O V E
PROVIDE	1.0 P R O V I D E
PROWESS	1.0 P R O W E S S
PS8418042783	1.0 P S 8 4 1 8 0 4 2 7 8 3
PS8418053885	1.0 P S 8 4 1 8 0 5 3 8 8 5
PT	1.0 P T #1
PT15944,	1.0 P T 1 5 9 4 4 ,
PT17920	1.0 P T 1 7 9 2 0 #1
PT17920,	1.0 P T 1 7 9 2 0 ,
PT244,	1.0 P T 2 4 4 ,
PTD	1.0 P T D
PTS:	1.0 P T S :
PU	1.0 P U #1
PUB	1.0 P U B #1
PUBLIKA	1.0 P U B L I K A
PUCHGNG	1.0 P U C H G N G
PUCHONG	1.0 P U C H O N G #1
PUCHONG)	1.0 P U C H O N G )
PUCHONG,	1.0 P U C H O N G ,
PUDU	1.0 P U D U #1
PUDU,	1.0 P U D U ,
PUFF	1.0 P U F F
PULAU	1.0 P U L A U
PULPY	1.0 P U L P Y
PUMP	1.0 P U M P
PUNCH	1.0 P U N C H
PUNP	1.0 P U N P
PURCHASE	1.0 P U R C H A S E #1
PURCHASE,	1.0 P U R C H A S E ,
PURCHASE.	1.0 P U R C H A S E . #1
PURCHASE.REDEMPTION	1.0 P U R C H A S E . R E D E M P T I O N
PURCHASED	1.0 P U R C H A S E D
PURCHASES	1.0 P U R C H A S E S
PURE	1.0 P U R E
PURPOSE	1.0 P U R P O S E
PUSAT	1.0 P U S A T
PUTERI	1.0 P U T E R I #1
PUTERI,	1.0 P U T E R I ,
PUTIH	1.0 P U T I H #1
PUTIH,	1.0 P U T I H ,
PUTRA	1.0 P U T R A #1
PUTRA,	1.0 P U T R A ,
PUTTY	1.0 P U T T Y
PUYUH	1.0 P U Y U H
PVC	1.0 P V C #1
PVC-	1.0 P V C -
PWP	1.0 P W P #1
PWP121096057	1.0 P W P 1 2 1 0 9 6 0 5 7
PY11	1.0 P Y 1 1
PYEDRAIN	1.0 P Y E D R A I N
PYRAMID	1.0 P Y R A M I D
Q	1.0 Q #1
QA31-42	1.0 Q A 3 1 - 4 2
QF12	1.0 Q F 1 2
QI31	1.0 Q I 3 1
QNTY	1.0 Q N T Y
QST	1.0 Q S T
QTE	1.0 Q T E
QTY	1.0 Q T Y #1
QTY(S)	1.0 Q T Y ( S )
QTY(S.)	1.0 Q T Y ( S . )
QTY.	1.0 Q T Y .
QTY:	1.0 Q T Y : #1
QTY:2	1.0 Q T Y : 2
QTY:4	1.0 Q T Y : 4
QTY:6	1.0 Q T Y : 6
QTYS:	1.0 Q T Y S :
QU	1.0 Q U #1
QUALITY	1.0 Q U A L I T Y
QUANTITY	1.0 Q U A N T I T Y
QUANTUTY	1.0 Q U A N T U T Y
QUARTERS	1.0 Q U A R T E R S
QUICK	1.0 Q U I C K
R	1.0 R #1
R&C	1.0 R & C
R.GALA	1.0 R . G A L A
R/FILE	1.0 R / F I L E
R000002902	1.0 R 0 0 0 0 0 2 9 0 2
R000010082	1.0 R 0 0 0 0 1 0 0 8 2
R000011248	1.0 R 0 0 0 0 1 1 2 4 8
R000017473	1.0 R 0 0 0 0 1 7 4 7 3
R000020832	1.0 R 0 0 0 0 2 0 8 3 2
R000027830	1.0 R 0 0 0 0 2 7 8 3 0
R000034324	1.0 R 0 0 0 0 3 4 3 2 4
R000034325	1.0 R 0 0 0 0 3 4 3 2 5
R000041542	1.0 R 0 0 0 0 4 1 5 4 2
R000064333	1.0 R 0 0 0 0 6 4 3 3 3
R000090406	1.0 R 0 0 0 0 9 0 4 0 6
R000100808	1.0 R 0 0 0 1 0 0 8 0 8
R000110133	1.0 R 0 0 0 1 1 0 1 3 3
R000111754	1.0 R 0 0 0 1 1 1 7 5 4
R000112043	1.0 R 0 0 0 1 1 2 0 4 3
R000112046	1.0 R 0 0 0 1 1 2 0 4 6
R000112415	1.0 R 0 0 0 1 1 2 4 1 5
R000112587	1.0 R 0 0 0 1 1 2 5 8 7
R000115147	1.0 R 0 0 0 1 1 5 1 4 7
R000116475	1.0 R 0 0 0 1 1 6 4 7 5
R000118079	1.0 R 0 0 0 1 1 8 0 7 9
R000118085	1.0 R 0 0 0 1 1 8 0 8 5
R000119242	1.0 R 0 0 0 1 1 9 2 4 2
R000120516	1.0 R 0 0 0 1 2 0 5 1 6
R000120718	1.0 R 0 0 0 1 2 0 7 1 8
R000121653	1.0 R 0 0 0 1 2 1 6 5 3
R000170536	1.0 R 0 0 0 1 7 0 5 3 6
R000178141	1.0 R 0 0 0 1 7 8 1 4 1
R000183898	1.0 R 0 0 0 1 8 3 8 9 8
R000227410	1.0 R 0 0 0 2 2 7 4 1 0
R000235438	1.0 R 0 0 0 2 3 5 4 3 8
R000242600	1.0 R 0 0 0 2 4 2 6 0 0
R000243654	1.0 R 0 0 0 2 4 3 6 5 4
R000246362	1.0 R 0 0 0 2 4 6 3 6 2
R000270508	1.0 R 0 0 0 2 7 0 5 0 8
R000302998	1.0 R 0 0 0 3 0 2 9 9 8
R000379771	1.0 R 0 0 0 3 7 9 7 7 1
R000406157	1.0 R 0 0 0 4 0 6 1 5 7
R000418193	1.0 R 0 0 0 4 1 8 1 9 3
R000550476	1.0 R 0 0 0 5 5 0 4 7 6
R000593260	1.0 R 0 0 0 5 9 3 2 6 0
R000637565	1.0 R 0 0 0 6 3 7 5 6 5
R000639004	1.0 R 0 0 0 6 3 9 0 0 4
R03	1.0 R 0 3
R05	1.0 R 0 5 #1
R05934	1.0 R 0 5 9 3 4
R1,	1.0 R 1 ,
R3	1.0 R 3
R5	1.0 R 5
R:	1.0 R :
RA	1.0 R A #1
RABAT	1.0 R A B A T
RACEJPT	1.0 R A C E J P T
RACKET	1.0 R A C K E T
RADIN	1.0 R A D I N
RAIL	1.0 R A I L
RAIN	1.0 R A I N #1
RAINNY	1.0 R A I N N Y
RAISIN	1.0 R A I S I N
RAJA	1.0 R A J A #1
RAJA,	1.0 R A J A ,
RAMEN	1.0 R A M E N
RAMLI	1.0 R A M L I
RAPID	1.0 R A P I D
RASHDI	1.0 R A S H D I
RATE	1.0 R A T E #1
RATED	1.0 R A T E D #1
RATED,	1.0 R A T E D ,
RAWANG	1.0 R A W A N G #1
RAWANG,	1.0 R A W A N G ,
RAWAT	1.0 R A W A T
RAYA	1.0 R A Y A #1
RAYA,	1.0 R A Y A ,
RAZAK	1.0 R A Z A K
RC	1.0 R C #1
RC11-23-42	1.0 R C 1 1 - 2 3 - 4 2
RC21	1.0 R C 2 1
RCD	1.0 R C D
RCPT	1.0 R C P T #1
RCPTz:A18000010451	1.0 R C P T z : A 1 8 0 0 0 0 1 0 4 5 1
RE	1.0 R E #1
RE-PRINT	1.0 R E - P R I N T
REALITI	1.0 R E A L I T I
REALTIES	1.0 R E A L T I E S
REC.0015016)	1.0 R E C . 0 0 1 5 0 1 6 )
RECEIPT	1.0 R E C E I P T #1
RECEIPT,	1.0 R E C E I P T ,
RECEIPT.	1.0 R E C E I P T .
RECEIPT/TRX	1.0 R E C E I P T / T R X
RECEIPT:	1.0 R E C E I P T :
RECEIPTS	1.0 R E C E I P T S
RECEIPTz:	1.0 R E C E I P T z :
RECEIVE	1.0 R E C E I V E #1
RECEIVED	1.0 R E C E I V E D #1
RECEIVED:	1.0 R E C E I V E D :
RECIPIENT	1.0 R E C I P I E N T
RECOMMENDATIONS	1.0 R E C O M M E N D A T I O N S
RED	1.0 R E D #1
REDEEM	1.0 R E D E E M
REF	1.0 R E F #1
REF.	1.0 R E F . #1
REF.:	1.0 R E F . :
REF:	1.0 R E F :
REFERENCE	1.0 R E F E R E N C E
REFIL	1.0 R E F I L #1
REFILL	1.0 R E F I L L #1
REFILLABLE	1.0 R E F I L L A B L E
REFONDABLE,	1.0 R E F O N D A B L E ,
REFUND	1.0 R E F U N D #1
REFUND.	1.0 R E F U N D .
REFUNDABLE	1.0 R E F U N D A B L E #1
REFUNDABLE,	1.0 R E F U N D A B L E ,
REFUNDABLE.	1.0 R E F U N D A B L E .
REFUNDS	1.0 R E F U N D S
REFUNOABLE	1.0 R E F U N O A B L E
REG	1.0 R E G #1
REG.	1.0 R E G . #1
REG.:	1.0 R E G . : #1
REG.:002120876032	1.0 R E G . : 0 0 2 1 2 0 8 7 6 0 3 2
REG.NO.	1.0 R E G . N O .
REG.NO:	1.0 R E G . N O :
REG:	1.0 R E G : #1
REG:001734164480	1.0 R E G : 0 0 1 7 3 4 1 6 4 4 8 0
REG:01	1.0 R E G : 0 1
REGISTRATION	1.0 R E G I S T R A T I O N
REGLE	1.0 R E G L E
REGULAR	1.0 R E G U L A R
REGULATOR	1.0 R E G U L A T O R
REHAT	1.0 R E H A T
REJECT	1.0 R E J E C T
REKO	1.0 R E K O
RELAIS	1.0 R E L A I S
RELATED	1.0 R E L A T E D
RELATIONS	1.0 R E L A T I O N S
RELAY	1.0 R E L A Y
RELIEF	1.0 R E L I E F #1
RELIEF*	1.0 R E L I E F *
RELOAD	1.0 R E L O A D
REMARKS:	1.0 R E M A R K S :
RENDANG	1.0 R E N D A N G
RENDEROC	1.0 R E N D E R O C
RENGIT)	1.0 R E N G I T )
REPAIR	1.0 R E P A I R
REPLACED	1.0 R E P L A C E D
REQU	1.0 R E Q U #1
REQUEST	1.0 R E Q U E S T #1
REQUEST.	1.0 R E Q U E S T .
REQUIRED	1.0 R E Q U I R E D
RESALEABLE	1.0 R E S A L E A B L E
RESERVATION	1.0 R E S E R V A T I O N
RESERVE	1.0 R E S E R V E
RESIT	1.0 R E S I T #1
RESIT.	1.0 R E S I T .
RESOURCES	1.0 R E S O U R C E S
REST	1.0 R E S T #1
RESTAURANT	1.0 R E S T A U R A N T #1
RESTAURANTS	1.0 R E S T A U R A N T S
RESTORAN	1.0 R E S T O R A N
RETAIL	1.0 R E T A I L #1
RETAIL.	1.0 R E T A I L .
RETAIL/TAKEAWAY	1.0 R E T A I L / T A K E A W A Y
RETAIN	1.0 R E T A I N
RETRNABLE	1.0 R E T R N A B L E
RETURN	1.0 R E T U R N #1
RETURNABLE	1.0 R E T U R N A B L E #1
RETURNABLE!	1.0 R E T U R N A B L E !
RETURNABLE*	1.0 R E T U R N A B L E *
RETURNABLE,	1.0 R E T U R N A B L E , #1
RETURNABLE,THANK	1.0 R E T U R N A B L E , T H A N K
RETURNABLE.	1.0 R E T U R N A B L E . #1
RETURNABLE.THANK	1.0 R E T U R N A B L E . T H A N K
RETURNABLE/EXCHANGEABLE!	1.0 R E T U R N A B L E / E X C H A N G E A B L E !
RETURNABLE/REFUNDABLE	1.0 R E T U R N A B L E / R E F U N D A B L E
RETURNED	1.0 R E T U R N E D
RETURNS	1.0 R E T U R N S
REV	1.0 R E V
RFG	1.0 R F G
RH42	1.0 R H 4 2
RHOMB	1.0 R H O M B
RIA	1.0 R I A #1
RIANG	1.0 R I A N G
RIB	1.0 R I B #1
RIBBON	1.0 R I B B O N
RIBENA	1.0 R I B E N A
RIBS	1.0 R I B S
RICE	1.0 R I C E #1
RICE@PERMAS	1.0 R I C E @ P E R M A S
RIDZUAN	1.0 R I D Z U A N #1
RIDZUAN(11900)	1.0 R I D Z U A N ( 1 1 9 0 0 )
RIGID	1.0 R I G I D
RIMBUNAN	1.0 R I M B U N A N
RINEE	1.0 R I N E E
RING	1.0 R I N G
RINI	1.0 R I N I #1
RINI,	1.0 R I N I ,
RM	1.0 R M #1
RM(TOTAL)	1.0 R M ( T O T A L )
RM-0.16	1.0 R M - 0 . 1 6
RM-0.18	1.0 R M - 0 . 1 8
RM-0.19	1.0 R M - 0 . 1 9
RM-0.20	1.0 R M - 0 . 2 0
RM-0.23	1.0 R M - 0 . 2 3
RM-0.33	1.0 R M - 0 . 3 3
RM-0.37	1.0 R M - 0 . 3 7
RM-0.39	1.0 R M - 0 . 3 9
RM-0.41	1.0 R M - 0 . 4 1
RM-0.45	1.0 R M - 0 . 4 5
RM-0.46	1.0 R M - 0 . 4 6
RM0.00	1.0 R M 0 . 0 0
RM0.01	1.0 R M 0 . 0 1
RM0.02	1.0 R M 0 . 0 2
RM0.06	1.0 R M 0 . 0 6
RM0.08	1.0 R M 0 . 0 8
RM0.17	1.0 R M 0 . 1 7
RM0.20	1.0 R M 0 . 2 0
RM0.23	1.0 R M 0 . 2 3
RM0.25	1.0 R M 0 . 2 5
RM0.28	1.0 R M 0 . 2 8
RM0.40	1.0 R M 0 . 4 0
RM0.47	1.0 R M 0 . 4 7
RM0.55	1.0 R M 0 . 5 5
RM0.65	1.0 R M 0 . 6 5
RM1,000	1.0 R M 1 , 0 0 0
RM1.00	1.0 R M 1 . 0 0
RM1.03	1.0 R M 1 . 0 3
RM1.12	1.0 R M 1 . 1 2
RM1.16	1.0 R M 1 . 1 6
RM1.25	1.0 R M 1 . 2 5
RM1.29	1.0 R M 1 . 2 9
RM1.35	1.0 R M 1 . 3 5
RM1.38	1.0 R M 1 . 3 8
RM1.40	1.0 R M 1 . 4 0
RM1.50	1.0 R M 1 . 5 0
RM1.57	1.0 R M 1 . 5 7
RM1.66)	1.0 R M 1 . 6 6 )
RM1.88	1.0 R M 1 . 8 8
RM1.90	1.0 R M 1 . 9 0
RM1.92	1.0 R M 1 . 9 2
RM10.00	1.0 R M 1 0 . 0 0
RM10.14	1.0 R M 1 0 . 1 4
RM10.50	1.0 R M 1 0 . 5 0
RM100.00	1.0 R M 1 0 0 . 0 0
RM106.50	1.0 R M 1 0 6 . 5 0
RM108.50	1.0 R M 1 0 8 . 5 0
RM11.00	1.0 R M 1 1 . 0 0
RM11.50	1.0 R M 1 1 . 5 0
RM11.60	1.0 R M 1 1 . 6 0
RM11.90	1.0 R M 1 1 . 9 0
RM12.60	1.0 R M 1 2 . 6 0
RM12.65	1.0 R M 1 2 . 6 5
RM12.70	1.0 R M 1 2 . 7 0
RM13.00	1.0 R M 1 3 . 0 0
RM13.50	1.0 R M 1 3 . 5 0
RM13.58	1.0 R M 1 3 . 5 8
RM13.65	1.0 R M 1 3 . 6 5
RM13.98	1.0 R M 1 3 . 9 8
RM134.80	1.0 R M 1 3 4 . 8 0
RM14.00	1.0 R M 1 4 . 0 0
RM14.18	1.0 R M 1 4 . 1 8
RM14.20	1.0 R M 1 4 . 2 0
RM14.30	1.0 R M 1 4 . 3 0
RM15.39	1.0 R M 1 5 . 3 9
RM15.40	1.0 R M 1 5 . 4 0
RM15.90	1.0 R M 1 5 . 9 0
RM15.98	1.0 R M 1 5 . 9 8
RM152.00	1.0 R M 1 5 2 . 0 0
RM16.50	1.0 R M 1 6 . 5 0
RM16.85	1.0 R M 1 6 . 8 5
RM2.00	1.0 R M 2 . 0 0
RM2.10	1.0 R M 2 . 1 0
RM2.15	1.0 R M 2 . 1 5
RM2.30	1.0 R M 2 . 3 0
RM2.35	1.0 R M 2 . 3 5
RM2.39	1.0 R M 2 . 3 9
RM2.45	1.0 R M 2 . 4 5
RM2.50	1.0 R M 2 . 5 0
RM2.54	1.0 R M 2 . 5 4
RM2.70	1.0 R M 2 . 7 0
RM2.83	1.0 R M 2 . 8 3
RM2.85	1.0 R M 2 . 8 5
RM2.95	1.0 R M 2 . 9 5
RM20.20	1.0 R M 2 0 . 2 0
RM20.80	1.0 R M 2 0 . 8 0
RM20202z	1.0 R M 2 0 2 0 2 z
RM21.83	1.0 R M 2 1 . 8 3
RM21.85	1.0 R M 2 1 . 8 5
RM22.65	1.0 R M 2 2 . 6 5
RM22.80	1.0 R M 2 2 . 8 0
RM23.60	1.0 R M 2 3 . 6 0
RM24.00	1.0 R M 2 4 . 0 0
RM24.40	1.0 R M 2 4 . 4 0
RM26.00	1.0 R M 2 6 . 0 0
RM28.03	1.0 R M 2 8 . 0 3
RM28.05	1.0 R M 2 8 . 0 5
RM28.15	1.0 R M 2 8 . 1 5
RM29.30	1.0 R M 2 9 . 3 0
RM29.90	1.0 R M 2 9 . 9 0
RM3.00	1.0 R M 3 . 0 0
RM3.03	1.0 R M 3 . 0 3
RM3.20	1.0 R M 3 . 2 0
RM3.30	1.0 R M 3 . 3 0
